IDX	최초 출현 연도	색인표제어	등재표제어	조어 유형	원어	어종	품사	전문분야	의미 영역	X년 Y월 신어
2020-0022	2020	교섭단체전권주의	교섭 단체 전권주의		(交涉團體專權主義)	한_한_한	「구」			【2019년 7월 신어】
2020-0023	2020	교양툰	교양-툰		(敎養<영>←cartoon)	한+영	「명」			【2019년 12월 신어】
2020-0024	2020	교육재난지원금	교육^재난^지원금		(敎育災難支援金)	한^한^한		『복지』		【2020년 4월 신어】
2020-0025	2020	국가기후비상사태	국가 기후 비상사태		(國家氣候非常事態)	한_한_한	「구」			【2020년 1월 신어】
2020-0026	2020	국가돌봄병원	국가^돌봄^병원		(國家돌봄病院)	한^고^한		『의학』		【2020년 1월 신어】
2020-0027	2020	국가연구개발혁신법	국가^연구^개발^혁신법		(國家硏究開發革新法)	한^한^한^한		『법률』		【2019년 9월 신어】
2020-0028	2020	국민내일배움카드	국민^내일^배움^카드		(國民來日배움<영>card)	한^한^고^영		『복지』		【2019년 10월 신어】
2020-0029	2020	국민안심마스크	국민^안심^마스크		(國民安心<영>mask)	한^한^영		『보건 일반』		【2020년 3월 신어】
2020-0030	2020	국제초청결혼	국제 초청 결혼		(國際招請結婚)	한_한_한	「구」			【2019년 8월 신어】
2020-0031	2020	국평오	국평오		(國平五)	한+한+한	「명」			【2019년 10월 신어】
2020-0032	2020	귀가안심보험	귀가 안심 보험		(歸家安心保險)	한_한_한	「구」			【2019년 8월 신어】
2020-0033	2020	그린스완	그린^스완		(<영>green swan)	영^영		『경제』		【2020년 1월 신어】
2020-0034	2020	그린스테이	그린 스테이		(<영>green stay)	영_영	「구」			【2019년 9월 신어】
2020-0035	2020	금스크	금스크		(金<영>←mask)	한+영	「명」			【2020년 1월 신어】
2020-0036	2020	금융안정특별대출제도	금융^안정^특별^대출^제도		(金融安定特別貸出制度)	한^한^한^한^한		『경제』		【2020년 4월 신어】
2020-0037	2020	금융투자소득세	금융^투자^소득세		(金融投資所得稅)	한^한^한		『경제』		【2020년 6월 신어】
2020-0038	2020	기간산업기금	기간산업^기금		(基幹産業基金)	한^한		『경제』		【2020년 4월 신어】
2020-0039	2020	기간산업안정기금	기간산업^안정^기금		(基幹産業安定基金)	한^한^한		『경제』		【2020년 4월 신어】
2020-0040	2020	기간산업안정자금	기간산업^안정^자금		(基幹産業安定資金)	한^한^한		『경제』		【2020년 4월 신어】
2020-0041	2020	기간산업지원금	기간산업^지원금		(基幹産業支援金)	한^한		『경제』		【2020년 4월 신어】
2020-0042	2020	기간안정산업기금	기간^안정^산업^기금		(基幹安定産業基金)	한^한^한^한		『경제』		【2020년 5월 신어】
2020-0043	2020	기본재난소득	기본^재난^소득		(基本災難所得)	한^한^한		『복지』		【2020년 3월 신어】
2020-0044	2020	기본재난지원금	기본^재난^지원금		(基本災難支援金)	한^한^한		『복지』		【2020년 3월 신어】
2020-0045	2020	기부금특별법	기부금^특별법		(寄附金特別法)	한^한		『법률』		【2020년 5월 신어】
2020-0046	2020	기안기금채권	기안^기금^채권		(基安基金債券)	한^한^한		『경제』		【2020년 5월 신어】
2020-0047	2020	기업구호긴급자금	기업^구호^긴급^자금		(企業救護緊急資金)	한^한^한^한		『경제』		【2020년 3월 신어】
2020-0048	2020	기후행동가	기후 행동가		(氣候行動家)	한_한	「구」			【2019년 8월 신어】
2020-0049	2020	긴급고용안정자금	긴급^고용^안정^자금		(緊急雇傭安定資金)	한^한^한^한		『복지』		【2020년 4월 신어】
2020-0050	2020	긴급고용안정지원금	긴급^고용^안정^지원금		(緊急雇傭安定支援金)	한^한^한^한		『복지』		【2020년 4월 신어】
2020-0051	2020	긴급고용유지지원금	긴급^고용^유지^지원금		(緊急雇傭維持支援金)	한^한^한^한		『복지』		【2020년 3월 신어】
2020-0052	2020	긴급고용지원금	긴급^고용^지원금		(緊急雇傭支援金)	한^한^한		『복지』		【2020년 4월 신어】
2020-0053	2020	긴급돌봄제도	긴급^돌봄^제도		(緊急돌봄制度)	한^고^한		『복지』		【2020년 2월 신어】
2020-0054	2020	긴급돌봄지원단	긴급^돌봄^지원단		(緊急돌봄支援團)	한^고^한		『복지』		【2020년 3월 신어】
2020-0055	2020	긴급돌봄학교	긴급^돌봄^학교		(緊急돌봄學校)	한^고^한		『복지』		【2020년 3월 신어】
2020-0056	2020	긴급민생지원금	긴급^민생^지원금		(緊急民生支援金)	한^한^한		『복지』		【2020년 3월 신어】
2020-0057	2020	긴급생계수당	긴급^생계^수당		(緊急生計手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0058	2020	긴급생존자금	긴급^생존^자금		(緊急生存資金)	한^한^한		『복지』		【2020년 3월 신어】
2020-0059	2020	긴급재난금	긴급^재난금		(緊急災難金)	한^한		『복지』		【2020년 3월 신어】
2020-0060	2020	긴급재난기본소득	긴급^재난^기본^소득		(緊急災難基本所得)	한^한^한^한		『복지』		【2020년 2월 신어】
2020-0061	2020	긴급재난기부금	긴급^재난^기부금		(緊急災難寄附金)	한^한^한		『복지』		【2020년 4월 신어】
2020-0062	2020	긴급재난생계비	긴급^재난^생계비		(緊急災難生計費)	한^한^한		『복지』		【2020년 3월 신어】
2020-0063	2020	긴급재난생계지원금	긴급^재난^생계^지원금		(緊急災難生計支援金)	한^한^한^한		『복지』		【2020년 3월 신어】
2020-0064	2020	긴급재난생계지원자금	긴급^재난^생계^지원^자금		(緊急災難生計支援資金)	한^한^한^한^한		『복지』		【2020년 3월 신어】
2020-0065	2020	긴급재난생활비	긴급^재난^생활비		(緊急災難生活費)	한^한^한		『복지』		【2020년 3월 신어】
2020-0066	2020	긴급재난생활지원금	긴급^재난^생활^지원금		(緊急災難生活支援金)	한^한^한^한		『복지』		【2020년 3월 신어】
2020-0067	2020	긴급재난소득	긴급^재난^소득		(緊急災難所得)	한^한^한		『복지』		【2020년 3월 신어】
2020-0068	2020	긴급재난수당	긴급^재난^수당		(緊急災難手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0069	2020	긴급재난지원소득	긴급^재난^지원^소득		(緊急災難支援所得)	한^한^한^한		『복지』		【2020년 3월 신어】
2020-0070	2020	긴급정서돌봄	긴급 정서 돌봄		(緊急情緖돌봄)	한_한_고	「구」			【2020년 5월 신어】
2020-0071	2020	긴급청년수당	긴급^청년^수당		(緊急靑年手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0072	2020	깜깜이감염	깜깜이 감염		(깜깜이感染)	고_한	「구」			【2020년 2월 신어】
2020-0073	2020	꾸밈노동파업	꾸밈 노동 파업		(꾸밈勞動罷業)	고_한_한	「구」			【2020년 2월 신어】
2020-0074	2020	꾸안꾸룩	꾸안꾸^룩		(꾸안꾸<영>look)	고^영		『복식』		【2019년 8월 신어】
2020-0075	2020	끼니노동	끼니 노동		(끼니勞動)	고_한	「구」			【2019년 9월 신어】
2020-0076	2020	낀낀세대	낀 낀 세대		(낀낀世代)	고_고_한	「구」			【2019년 8월 신어】
2020-0077	2020	내돈내산	내돈내산			고+고+고+고	「명」			【2019년 10월 신어】
2020-0078	2020	노마스크족	노 마스크족		(<영>no mask族)	영_(영+한)	「구」			【2020년 3월 신어】
2020-0079	2020	노튜버존	노튜버 존		(<영>▼no←Youtuber zone) 	영_영	「구」			【2019년 11월 신어】
2020-0080	2020	녹녹갈등	녹녹^갈등		(綠綠葛藤)	한^한		『환경』		【2019년 7월 신어】
2020-0081	2020	뉴트로국악	뉴트로 국악		(<영>▼←new retro國樂)	영_한	「구」			【2019년 11월 신어】
2020-0082	2020	단마토	단마토		(단<영>←tomato)	고+영	「명」			【2020년 1월 신어】
2020-0083	2020	달고나커피	달고나-커피		(달고나<영>coffee)	고+영	「명」			【2020년 3월 신어】
2020-0084	2020	댕댕이피자	댕댕이 피자		(댕댕이<이>pizza)	고_이	「구」			【2019년 9월 신어】
2020-0085	2020	덕분에챌린지	덕분에 챌린지		(德分에<영>challenge)	(한+고)_영	「구」			【2020년 4월 신어】
2020-0086	2020	도슨트북	도슨트^북		(<영>docent book)	영^영		『예체능 일반』		【2019년 9월 신어】
2020-0087	2020	돈쭐	돈쭐			고+고	「명」			【2019년 7월 신어】
2020-0088	2020	돌밥돌밥	돌밥돌밥			고+고+고+고	「명」			【2020년 3월 신어】
2020-0089	2020	동양인포비아	동양인 포비아		(東洋人<영>phobia)	한_영	「구」			【2020년 2월 신어】
2020-0090	2020	동학개미	동학 개미		(東學개미)	한_고	「구」			【2020년 3월 신어】
2020-0091	2020	동학개미운동	동학 개미 운동		(東學개미運動)	한_고_한	「구」			【2020년 3월 신어】
2020-0092	2020	뒷계정	뒷-계정		(뒷計定)	고+한	「명」			【2020년 1월 신어】
2020-0093	2020	드라이브스루선별진료소	드라이브스루^선별^진료소		(<영>drive-through選別診療所)	영^한^한		『보건 일반』		【2020년 2월 신어】
2020-0094	2020	등린이	등린이		(登린이)	한+고	「명」			【2020년 5월 신어】
2020-0095	2020	등원수업	등원 수업		(登園授業)	한_한	「구」			【2020년 4월 신어】
2020-0096	2020	딥페이크물	딥페이크-물		(<영>deepfake物)	영+한	「명」			【2020년 3월 신어】
2020-0097	2020	랜선놀이	랜선 놀이		(<영>LAN線놀이)	(영+한)_고	「구」			【2020년 3월 신어】
2020-0098	2020	랜선문화	랜선 문화		(<영>LAN線文化)	(영+한)_한	「구」			【2020년 3월 신어】
2020-0099	2020	랜선생파	랜선 생파		(<영>LAN線生<영>←party)	(영+한)_(한+영)	「구」			【2020년 3월 신어】
2020-0100	2020	랜선여행족	랜선 여행족		(<영>LAN線旅行族)	(영+한)_한	「구」			【2020년 5월 신어】
2020-0101	2020	랜선운동	랜선 운동		(<영>LAN線運動)	(영+한)_한	「구」			【2020년 3월 신어】
2020-0102	2020	랜선음악회	랜선 음악회		(<영>LAN線音樂會)	(영+한)_(한+한)	「구」			【2020년 2월 신어】
2020-0103	2020	랜선초대장	랜선 초대장		(<영>LAN線招待狀)	(영+한)_한	「구」			【2020년 4월 신어】
2020-0104	2020	랜선축하	랜선 축하		(<영>LAN線祝賀)	(영+한)_한	「구」			【2019년 12월 신어】
2020-0105	2020	랜선호캉스	랜선 호캉스		(<영>LAN線<영>←hotel<프>←vacance)	(영+한)_(영+프)	「구」			【2020년 4월 신어】
2020-0106	2020	마스크공적판매처	마스크^공적^판매처		(<영>mask公的販賣處)	영^한^한		『보건 일반』		【2020년 2월 신어】
2020-0107	2020	마스크메이크업	마스크 메이크업		(<영>▼mask makeup)	영_영	「구」			【2020년 2월 신어】
2020-0108	2020	마스크없무새	마스크 없무새		(<영>mask없鵡새)	영_(고+한+고)	「구」			【2020년 3월 신어】
2020-0109	2020	마스크오부제	마스크^오부제		(<영>mask五部制)	영^한		『보건 일반』		【2020년 3월 신어】
2020-0110	2020	마스크의무제	마스크^의무제		(<영>mask義務制)	영^한		『보건 일반』		【2020년 5월 신어】
2020-0111	2020	마스크프루프	마스크 프루프		(<영>▼mask proof)	영_영	「구」			【2020년 5월 신어】
2020-0112	2020	마스크화장법	마스크 화장법		(<영>mask化粧法)	영_한	「구」			【2020년 2월 신어】
2020-0113	2020	마코인	마코인		(<영>▼←mask Bitcoin)	영+영	「명」			【2020년 2월 신어】
2020-0114	2020	먹튜브	먹튜브		(먹←Youtube)	한+영	「명」			【2019년 8월 신어】
2020-0115	2020	멘탈데믹	멘탈데믹		(<영>▼metal←pandemic)	영+영	「명」			【2020년 5월 신어】
2020-0116	2020	몰수보호시설	몰수^보호^시설		(沒收保護施設)	한^한^한		『법률』		【2019년 8월 신어】
2020-0117	2020	무인적조관측시스템	무인^적조^관측^시스템		(無人赤潮觀測<영>system)	한^한^한^영		『환경』		【2020년 6월 신어】
2020-0118	2020	문고리드림	문고리 드림		(門고리드림)	(한+고)_고	「구」			【2020년 3월 신어】
2020-0119	2020	미세먼지계절관리제	미세^먼지^계절^관리제		(微細먼지季節管理制)	한^고^한^한		『법률』		【2019년 7월 신어】
2020-0120	2020	미세먼지떨이식수사	미세 먼지떨이식 수사		(微細먼지떨이式搜査)	한_(고+한)_한	「구」			【2019년 10월 신어】
2020-0121	2020	미세먼지점검단	미세 먼지 점검단		(微細먼지點檢團)	한_고_한	「구」			【2019년 11월 신어】
2020-0122	2020	배달거지	배달 거지		(配達거지)	한_고	「구」			【2019년 10월 신어】
2020-0123	2020	베어마겟돈	베어마겟돈		(<영>bearmageddon)	영	「명」	『경제』		【2020년 3월 신어】
2020-0124	2020	부머리무버	부머 리무버		(<영>boomer remover)	영_영	「구」			【2020년 3월 신어】
2020-0125	2020	분노방정식	분노 방정식		(憤怒方程式)	한_한	「구」			【2019년 12월 신어】
2020-0126	2020	불매유탄	불매 유탄		(不買流彈)	한_한	「구」			【2019년 8월 신어】
2020-0127	2020	블랙아웃화요일	블랙아웃 화요일		(<영>blackout火曜日)	영_한	「구」			【2020년 6월 신어】
2020-0128	2020	비대면강의	비대면 강의		(非對面講義)	한_한	「구」			【2020년 2월 신어】
2020-0129	2020	비대면시험	비대면 시험		(非對面試驗)	한_한	「구」			【2020년 4월 신어】
2020-0130	2020	비례신당	비례^신당		(比例新黨)	한^한		『정치』		【2019년 12월 신어】
2020-0131	2020	비례연합공천	비례^연합^공천		(比例聯合公薦)	한^한^한		『정치』		【2020년 3월 신어】
2020-0132	2020	비례연합당	비례^연합당		(比例聯合黨)	한^한		『정치』		【2020년 3월 신어】
2020-0133	2020	비례연합정당	비례^연합^정당		(比例聯合政黨)	한^한^한		『정치』		【2020년 3월 신어】
2020-0134	2020	비례위성당	비례^위성당		(比例衛星黨)	한^한		『정치』		【2019년 12월 신어】
2020-0135	2020	비례위성정당	비례^위성^정당		(比例衛星政黨)	한^한^한		『정치』		【2019년 9월 신어】
2020-0136	2020	비례자매정당	비례^자매^정당		(比例姊妹政黨)	한^한^한		『정치』		【2020년 1월 신어】
2020-0137	2020	비례전문정당	비례^전문^정당		(比例專門政黨)	한^한^한		『정치』		【2019년 12월 신어】
2020-0138	2020	비말마스크	비말^마스크		(飛沫<영>mask)	한^영		『보건 일반』		【2020년 5월 신어】
2020-0139	2020	비말차단	비말 차단		(飛沫遮斷)	한_한	「구」			【2020년 1월 신어】
2020-0140	2020	비말차단마스크	비말^차단^마스크		(飛沫遮斷<영>mask)	한^한^영		『보건 일반』		【2020년 2월 신어】
2020-0141	2020	비말차단용마스크	비말^차단용^마스크		(飛沫遮斷用<영>mask)	한^한^영		『보건 일반』		【2020년 5월 신어】
2020-0142	2020	비백색국가	비백색^국가		(非白色國家)	한^한		『경제』		【2019년 7월 신어】
2020-0143	2020	비화이트국	비-화이트국		(非<영>white國)	한+(영+한)	「명」	『경제』		【2019년 7월 신어】
2020-0144	2020	비화이트리스트	비화이트^리스트		(非<영>white list)	(한+영)^영 		『경제』		【2019년 7월 신어】
2020-0145	2020	뻥골프	뻥-골프		(뻥<영>golf)	고+영	「명」			【2020년 2월 신어】
2020-0146	2020	사골차	사골-차		(四骨車)	한+한	「명」			【2019년 8월 신어】
2020-0147	2020	사스코로나바이러스이	사스^코로나바이러스^이		(<영>SARS corona virus二)	영^영^한		『보건 일반』		【2020년 3월 신어】
2020-0148	2020	사이버술자리	사이버 술자리		(<영>cyber술자리)	영_고	「구」			【2020년 3월 신어】
2020-0149	2020	사전환자분류소	사전^환자^분류소		(事前患者分類所)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0150	2020	사회진입활동비	사회^진입^활동비		(社會進入活動費)	한^한^한		『경제』		【2019년 7월 신어】
2020-0151	2020	산린이	산린이		(山린이)	한+고	「명」			【2020년 5월 신어】
2020-0152	2020	상거래신용등급	상거래^신용^등급		(商去來信用等級)	한^한^한		『경제』		【2020년 2월 신어】
2020-0153	2020	상상코로나	상상 코로나		(想像<영>←corona virus)	한_영	「구」			【2020년 2월 신어】
2020-0154	2020	상생특별보증	상생^특별^보증		(相生特別保證)	한^한^한		『경제』		【2020년 5월 신어】
2020-0155	2020	생활방역수칙	생활^방역^수칙		(生活防疫守則)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0156	2020	생활방역시스템	생활^방역^시스템		(生活防疫<영>system)	한^한^영		『보건 일반』		【2020년 3월 신어】
2020-0157	2020	생활방역체계	생활^방역^체계		(生活防疫體系)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0158	2020	생활방역체제	생활^방역^체제		(生活防疫體制)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0159	2020	생활속거리두기	생활^속^거리^두기		(生活속距離두기)	한^고^한^고		『보건 일반』		【2020년 4월 신어】
2020-0160	2020	생활지원사	생활 지원사		(生活支援士)	한_한	「구」			【2019년 12월 신어】
2020-0161	2020	생활치료센터	생활^치료^센터		(生活治療<영>center)	한^한^영		『보건 일반』		【2020년 3월 신어】
2020-0162	2020	생활치료시설	생활^치료^시설		(生活治療施設)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0163	2020	선별검사센터	선별^검사^센터		(選別檢査<영>center)	한^한^영		『보건 일반』		【2020년 2월 신어】
2020-0164	2020	선별문진표	선별^문진^표		(選別問診表)	한^한^한		『보건 일반』		【2020년 2월 신어】
2020-0165	2020	성범죄백서	성범죄^백서		(性犯罪白書)	한^한		『사회 일반』		【2020년 2월 신어】
2020-0166	2020	세계보건안전지수	세계^보건^안전^지수		(世界保健安全指數)	한^한^한^한		『보건 일반』		【2020년 1월 신어】
2020-0167	2020	세대균형지표	세대^균형^지표		(世代均衡指標)	한^한^한		『경제』		【2019년 12월 신어】
2020-0168	2020	세미브리더	세미-브리더		(<영>semi breeder)	영+영	「명」	『물리』		【2019년 8월 신어】
2020-0169	2020	소득감소진술서	소득 감소 진술서		(所得減少陳述書)	한_한_한	「구」			【2020년 4월 신어】
2020-0170	2020	소방직무제	소방^직무제		(消防職務制)	한^한		『행정』		【2019년 12월 신어】
2020-0171	2020	소부장산업	소부장^산업		(素部裝産業)	한^한		『경제』		【2019년 8월 신어】
2020-0172	2020	소부장특별법	소부장^특별법		(素部裝特別法)	한^한		『법률』		【2019년 8월 신어】
2020-0173	2020	소액테크	소액 테크		(少額<영>tech)	한_영	「구」			【2019년 8월 신어】
2020-0174	2020	소재부품장비산업특별법	소재ㆍ부품ㆍ장비^산업^특별법		(素材部品裝備産業特別法)	한^한^한		『법률』		【2019년 9월 신어】
2020-0175	2020	손실배수	손실^배수		(損失倍數)	한^한		『경제』		【2019년 8월 신어】
2020-0176	2020	쇄국방역	쇄국 방역		(鎖國防疫)	한_한	「구」			【2020년 6월 신어】
2020-0177	2020	수리감염역학	수리^감염^역학		(數理感染疫學)	한^한^한		『의학』		【2020년 3월 신어】
2020-0178	2020	수사심사관	수사^심사관		(搜査審査官)	한^한		『행정』		【2019년 7월 신어】
2020-0179	2020	수사심사관제	수사^심사관제		(搜査審査官制)	한^한		『행정』		【2019년 7월 신어】
2020-0180	2020	수소리포머	수소 리포머		(水素<영>reformer)	한_영	「구」			【2020년 3월 신어】
2020-0181	2020	수소사회형성법안	수소^사회^형성^법안		(水素社會形成法案)	한^한^한^한		『법률』		【2019년 8월 신어】
2020-0182	2020	수출심사우대국	수출^심사^우대국		(輸出審査優待國)	한^한^한		『경제』		【2019년 7월 신어】
2020-0183	2020	수출우대국	수출^우대국		(輸出優待國)	한^한		『경제』		【2019년 7월 신어】
2020-0184	2020	스테이앳홈챌린지	스테이 앳 홈 챌린지		(<영>stay at home challenge)	영_영_영_영	「구」			【2020년 3월 신어】
2020-0185	2020	스펙품앗이	스펙 품앗이		(<영>spec품앗이)	영_고	「구」			【2019년 8월 신어】
2020-0186	2020	승차진료소	승차^진료소		(乘車診療所)	한^한		『보건 일반』		【2020년 3월 신어】
2020-0187	2020	시니어상권	시니어 상권		(<영>senior商圈)	영_한	「구」			【2020년 6월 신어】
2020-0188	2020	시민애도장	시민 애도장		(市民哀悼葬)	한_한	「구」			【2019년 9월 신어】
2020-0189	2020	식빵세대	식빵 세대		(食빵世代)	(한+고)_한	「구」			【2020년 2월 신어】
2020-0190	2020	신속사용승인	신속 사용 승인		(迅速使用承認)	한_한_한	「구」			【2020년 3월 신어】
2020-0191	2020	신속전액보증	신속 전액 보증		(迅速全額保證)	한_한_한	「구」			【2020년 3월 신어】
2020-0192	2020	신속통로제	신속^통로제		(迅速通路制)	한^한		『행정』		【2020년 5월 신어】
2020-0193	2020	신종코로나감염증	신종^코로나^감염증		(新種<영>←corona virus感染症)	한^영^한		『보건 일반』		【2020년 1월 신어】
2020-0194	2020	신종코로나바이러스감염증	신종^코로나바이러스^감염증		(新種<영>corona virus感染症)	한^영^한		『보건 일반』		【2020년 1월 신어】
2020-0195	2020	신중국공포	신중국 공포		(新中國恐怖)	한_한	「구」			【2019년 12월 신어】
2020-0196	2020	실버역세권	실버 역세권		(<영>silver驛勢圈)	영_한	「구」			【2020년 1월 신어】
2020-0197	2020	실종아동주간	실종^아동^주간		(失踪兒童週間)	한^한^한		『사회 일반』		【2020년 3월 신어】
2020-0198	2020	실효이자비용	실효^이자^비용		(實效利子費用)	한^한^한		『경제』		【2020년 5월 신어】
2020-0199	2020	쌉에이블	쌉-에이블		(쌉<영>able)	고+영	「명」			【2020년 5월 신어】
2020-0200	2020	쌉파서블	쌉-파서블		(쌉<영>possible)	고+영	「명」			【2020년 4월 신어】
2020-0201	2020	아동돌봄쿠폰	아동^돌봄^쿠폰		(兒童돌봄<영>coupon)	한^고^영		『복지』		【2020년 3월 신어】
2020-0202	2020	아동양육쿠폰	아동^양육^쿠폰		(兒童養育<영>coupon)	한^한^영		『복지』		【2020년 3월 신어】
2020-0203	2020	아베노마스크	아베노마스크		(<일>Abeno mask)	일	「명」			【2020년 4월 신어】
2020-0204	2020	아이돌봄쿠폰	아이^돌봄^쿠폰		(아이돌봄<영>coupon)	고^고^영		『복지』		【2020년 3월 신어】
2020-0205	2020	아이돌봄포인트	아이^돌봄^포인트		(아이돌봄<영>point)	고^고^영		『복지』		【2020년 4월 신어】
2020-0206	2020	안방요금	안방 요금		(안房料金)	(고+한)_한	「구」			【2020년 5월 신어】
2020-0207	2020	안보삼각형	안보^삼각형		(安保三角形)	한^한		『정치』		【2019년 7월 신어】
2020-0208	2020	안심가림막	안심 가림막		(安心가림幕)	한_(고+한)	「구」			【2019년 12월 신어】
2020-0209	2020	안심면회	안심 면회		(安心面會)	한_한	「구」			【2020년 3월 신어】
2020-0210	2020	안심외래진료소	안심^외래^진료소		(安心外來診療所)	한^한^한		『보건 일반』		【2020년 2월 신어】
2020-0211	2020	애국테마주	애국 테마주		(愛國<독>thema株)	한_(독+한)	「구」			【2019년 7월 신어】
2020-0212	2020	애프터코로나	애프터 코로나		(<영>▼after←corona virus)	영_영	「구」			【2020년 3월 신어】
2020-0213	2020	약물치유법원	약물^치유^법원		(藥物治癒法院)	한^한^한		『법률』		【2019년 9월 신어】
2020-0214	2020	양압차	양압-차		(陽壓車)	한+한	「명」			【2019년 12월 신어】
2020-0215	2020	양압차량	양압 차량		(陽壓車輛)	한_한	「구」			【2019년 12월 신어】
2020-0216	2020	양육쿠폰	양육^쿠폰		(養育<영>coupon)	한^영		『복지』		【2020년 3월 신어】
2020-0217	2020	양자보안폰	양자 보안 폰		(量子保安<영>phone)	한_한_영	「구」			【2020년 5월 신어】
2020-0218	2020	어린이생명법안	어린이 생명 법안		(어린이生命法案)	고_한_한	「구」			【2019년 11월 신어】
2020-0219	2020	어선원보험법	어선원^보험법		(漁船員保險法)	한^한		『법률』		【2020년 4월 신어】
2020-0220	2020	어퍼웨어	어퍼웨어		(<영>upperwear)	영	「명」			【2020년 4월 신어】
2020-0221	2020	언컨택트	언-컨택트		(<영>▼uncontact)	영+영	「명」			【2020년 3월 신어】
2020-0222	2020	언택트경제	언택트 경제		(<영>▼un←contact經濟)	영_한	「구」			【2020년 3월 신어】
2020-0223	2020	언택트러닝	언택트 러닝		(<영>▼un←contact learning)	영_영	「구」			【2020년 6월 신어】
2020-0224	2020	언택트범죄	언택트 범죄		(<영>▼un←contact犯罪)	영_한	「구」			【2020년 4월 신어】
2020-0225	2020	언택트산업	언택트 산업		(<영>▼un←contact産業)	영_한	「구」			【2019년 10월 신어】
2020-0226	2020	언택트시네마	언택트 시네마		(<영>▼un←contact cinema)	영_영	「구」			【2020년 4월 신어】
2020-0227	2020	언택트영업	언택트 영업		(<영>▼un←contact營業)	영_한	「구」			【2020년 3월 신어】
2020-0228	2020	언택트존	언택트 존		(<영>▼un←contact zone)	영_영	「구」			【2020년 6월 신어】
2020-0229	2020	언택트주	언택트-주		(<영>▼un←contact株)	영+한	「명」			【2020년 3월 신어】
2020-0230	2020	에코프로파일링	에코 프로파일링		(<영>echo profiling)	영_영	「구」			【2019년 10월 신어】
2020-0231	2020	엔번방사건	엔 번 방 사건		(<영>n番房事件)	영_한_한_한	「구」			【2019년 11월 신어】
2020-0232	2020	여객자동차운송플랫폼	여객^자동차^운송^플랫폼		(旅客自動車運送<영>platform)	한^한^한^영		『정보ㆍ통신』		【2019년 10월 신어】
2020-0233	2020	연관검색어정화운동	연관 검색어 정화 운동		(聯關檢索語淨化運動)	한_한_한_한	「구」			【2019년 10월 신어】
2020-0234	2020	연락제한요청권	연락^제한^요청권		(連絡制限要請權)	한^한^한		『법률』		【2020년 2월 신어】
